User_ID,Session_Length_Minutes,Time_of_Day,Lesson_Completed,Difficulty_Level,Notifications_Received,Interacted_With_Feature,Subscription_Status,Rating,Country,Device_Type,Churned,Session_Date
user_99,4.69,Night,1,Intermediate,0,Yes,Free,5.0,Australia,Tablet,0,2024-01-01 00:00:00
user_515,9.19,Evening,0,Advanced,1,Yes,Free,4.0,Canada,Desktop,0,2024-01-01 01:00:00
user_157,7.44,Afternoon,0,Intermediate,0,Yes,Free,4.0,USA,Desktop,0,2024-01-01 02:00:00
user_638,15.38,Morning,0,Intermediate,0,No,Free,2.0,India,Tablet,0,2024-01-01 03:00:00
user_826,29.74,Night,1,Beginner,0,No,Free,3.0,Brazil,Tablet,0,2024-01-01 04:00:00
user_410,6.84,Morning,1,Beginner,1,Yes,Free,3.0,Germany,Tablet,0,2024-01-01 05:00:00
user_857,34.93,Evening,1,Advanced,2,Yes,Free,4.0,Australia,Desktop,0,2024-01-01 06:00:00
user_149,4.92,Afternoon,1,Beginner,0,Yes,Free,5.0,India,Tablet,0,2024-01-01 07:00:00
user_372,0.77,Night,1,Beginner,0,No,Free,5.0,USA,Desktop,0,2024-01-01 08:00:00
user_181,14.75,Morning,0,Beginner,2,Yes,Free,4.0,Canada,Tablet,0,2024-01-01 09:00:00
user_873,13.08,Evening,1,Beginner,0,No,Premium,5.0,USA,Tablet,0,2024-01-01 10:00:00
user_216,14.74,Afternoon,0,Beginner,0,Yes,Free,5.0,Brazil,Tablet,0,2024-01-01 11:00:00
user_58,3.77,Evening,1,Beginner,1,Yes,Free,4.0,Germany,Tablet,0,2024-01-01 12:00:00
user_201,1.76,Night,1,Intermediate,2,No,Free,5.0,Brazil,Mobile,0,2024-01-01 13:00:00
user_44,22.64,Afternoon,0,Beginner,1,No,Free,5.0,Australia,Desktop,0,2024-01-01 14:00:00
user_402,5.4,Afternoon,0,Beginner,1,Yes,Free,4.0,Germany,Desktop,0,2024-01-01 15:00:00
user_539,35.68,Night,0,Beginner,0,Yes,Free,5.0,UK,Mobile,0,2024-01-01 16:00:00
user_595,6.99,Morning,0,Advanced,0,Yes,Free,3.0,UK,Mobile,0,2024-01-01 17:00:00
user_689,2.77,Evening,1,Beginner,1,No,Free,5.0,UK,Desktop,0,2024-01-01 18:00:00
user_95,0.95,Evening,0,Beginner,0,Yes,Free,1.0,Germany,Mobile,1,2024-01-01 19:00:00
user_437,7.18,Afternoon,1,Beginner,1,No,Free,4.0,UK,Tablet,0,2024-01-01 20:00:00
user_34,1.2,Night,1,Beginner,2,Yes,Free,2.0,Brazil,Tablet,0,2024-01-01 21:00:00
user_530,22.75,Night,1,Beginner,0,No,Premium,5.0,India,Tablet,0,2024-01-01 22:00:00
user_349,15.14,Evening,0,Beginner,2,Yes,Free,1.0,India,Tablet,0,2024-01-01 23:00:00
user_350,1.75,Evening,1,Intermediate,0,No,Free,4.0,Australia,Tablet,0,2024-01-02 00:00:00
user_885,13.72,Evening,1,Intermediate,1,Yes,Free,4.0,Brazil,Tablet,0,2024-01-02 01:00:00
user_254,36.12,Afternoon,1,Intermediate,2,Yes,Free,5.0,Brazil,Mobile,0,2024-01-02 02:00:00
user_399,3.3,Morning,1,Beginner,3,Yes,Premium,4.0,Germany,Mobile,0,2024-01-02 03:00:00
user_782,34.01,Night,1,Beginner,1,Yes,Free,5.0,Canada,Tablet,0,2024-01-02 04:00:00
user_816,27.51,Evening,0,Beginner,2,Yes,Premium,5.0,USA,Tablet,0,2024-01-02 05:00:00
user_679,11.94,Evening,0,Beginner,4,Yes,Premium,5.0,Canada,Tablet,0,2024-01-02 06:00:00
user_450,12.11,Evening,1,Beginner,1,Yes,Free,4.0,Canada,Mobile,0,2024-01-02 07:00:00
user_861,7.82,Afternoon,0,Beginner,0,No,Free,3.0,Australia,Desktop,0,2024-01-02 08:00:00
user_309,7.39,Evening,0,Intermediate,0,Yes,Free,5.0,Australia,Tablet,0,2024-01-02 09:00:00
user_95,10.15,Evening,1,Intermediate,0,No,Free,4.0,UK,Desktop,0,2024-01-02 10:00:00
user_430,0.82,Morning,1,Intermediate,1,Yes,Free,4.0,India,Desktop,0,2024-01-02 11:00:00
user_573,7.97,Evening,1,Beginner,3,Yes,Free,4.0,Brazil,Desktop,0,2024-01-02 12:00:00
user_681,14.18,Morning,0,Beginner,0,No,Free,4.0,India,Tablet,0,2024-01-02 13:00:00
